Date,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2013-10-20,9.0,18.0,25.0,29.0,48.0,62.0,62.0,62.0,62.0,62.0,62.0
2013-10-21,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,37.0
2013-10-22,4.0,4.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2013-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-26,4.0,6.0,6.0,7.0,10.0,12.0,15.0,15.0,15.0,22.0,25.0
2013-10-27,3.0,3.0,4.0,4.0,4.0,4.0,10.0,14.0,14.0,17.0,32.0
2013-10-28,6.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
2013-10-29,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.0
2013-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-10-31,13.0,22.0,28.0,35.0,64.0,94.0,106.0,121.0,137.0,179.0,179.0
2014-05-03,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0
2014-05-04,25.0,42.0,50.0,60.0,66.0,68.0,75.0,83.0,97.0,116.0,183.0
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2014-05-10,7.0,11.0,15.0,18.0,35.0,45.0,60.0,72.0,72.0,72.0,72.0
2014-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2014-05-14,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2014-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-16,16.0,29.0,37.0,40.0,65.0,85.0,105.0,121.0,139.0,195.0,198.0
2014-05-17,27.0,46.0,58.0,67.0,118.0,164.0,191.0,252.0,286.0,324.0,388.0
2014-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
2014-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
2014-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-25,35.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2014-05-26,9.0,12.0,19.0,21.0,21.0,21.0,27.0,38.0,38.0,38.0,42.0
2014-05-27,18.0,29.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,60.0,70.0
2014-05-28,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,41.0
2014-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
